"file","rule_id","standard","category","p21_id","core_id","cg_ids","fda_ids","source_doc","has_p21","has_core","has_cg"
"HRL-AD-0060.yaml","HRL-AD-0060","ADaM","Presence","AD0078","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0061.yaml","HRL-AD-0061","ADaM","Presence","AD0079","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0062.yaml","HRL-AD-0062","ADaM","Presence","AD0080","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0063.yaml","HRL-AD-0063","ADaM","Consistency","AD0083","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0064.yaml","HRL-AD-0064","ADaM","Consistency","AD0084","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0065.yaml","HRL-AD-0065","ADaM","Presence","AD0090","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0066.yaml","HRL-AD-0066","ADaM","Consistency","AD0092","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0067.yaml","HRL-AD-0067","ADaM","Consistency","AD0092B","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0068.yaml","HRL-AD-0068","ADaM","Consistency","AD0093","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0069.yaml","HRL-AD-0069","ADaM","Consistency","AD0093B","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0070.yaml","HRL-AD-0070","ADaM","Format","AD0094","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0071.yaml","HRL-AD-0071","ADaM","Consistency","AD0095","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0072.yaml","HRL-AD-0072","ADaM","Consistency","AD0095B","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0073.yaml","HRL-AD-0073","ADaM","Consistency","AD0096","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0074.yaml","HRL-AD-0074","ADaM","Consistency","AD0096B","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0075.yaml","HRL-AD-0075","ADaM","Presence","AD0097","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0076.yaml","HRL-AD-0076","ADaM","Consistency","AD0098","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0077.yaml","HRL-AD-0077","ADaM","Consistency","AD0099","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0078.yaml","HRL-AD-0078","ADaM","Cross-reference","AD0100","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0079.yaml","HRL-AD-0079","ADaM","Cross-reference","AD0101","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0080.yaml","HRL-AD-0080","ADaM","Cross-reference","AD0102","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0081.yaml","HRL-AD-0081","ADaM","Cross-reference","AD0103","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0082.yaml","HRL-AD-0082","ADaM","Cross-reference","AD0104","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0083.yaml","HRL-AD-0083","ADaM","Consistency","AD0105","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0084.yaml","HRL-AD-0084","ADaM","Consistency","AD0105B","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0085.yaml","HRL-AD-0085","ADaM","Consistency","AD0106","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0086.yaml","HRL-AD-0086","ADaM","Consistency","AD0106B","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0087.yaml","HRL-AD-0087","ADaM","Cross-reference","AD0107","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
